Flag;Description
*;Unofficial figure
;Official data
A;Aggregate ( may include official,  semi-official,  estimated or calculated data)
F;FAO estimate
Fc;Calculated data
Im;FAO data based on imputation methodology
M;Data not available
R;Estimated data using trading partners database
